15	Faculty of arts	Artes	Artes faculteit	faculty	28	9	12	1425	9	11	1797	2
16	The Falcon	Paedagogium Falconis	Pedagogie De Valk		15	0	0	0	0	0	0	2
17	The Castle	Paedagogium Castri	Pedagogie De Burcht		15	0	0	0	0	0	0	2
18	The Pig	Paedagogium Porci	Pedagogie Het Varken		15	0	0	0	0	0	0	2
19	The Lily	Paedagogium Lilii	Pedagogie De Lelie		15	0	0	0	0	0	0	2
20	Pedagogy unknown	Pedagogy unknown	Pedagogie onbekend		15	0	0	0	0	0	0	2
21	Holy Trinity college	Collegium Sanctissimae Trinitatis	Heilige-Drievuldigheidscollege	college	0	1	10	1657	0	0	0	2
22	Faculty of Medicine	Faculty of Medicine	Medische faculteit	faculty	28	0	0	0	0	0	0	2
23	College of Ath	Collegium Athense	College van Ath	college	0	0	0	0	0	0	0	2
24	College of Mons	Collegium Montense	College van Bergen	college	0	0	0	0	0	0	0	2
25	Faculty of Law		Rechtsfaculteit	college	28	0	0	0	0	0	0	2
26	Faculty of Theology		Theologische faculteit	faculty	28	0	0	0	0	0	0	2
27	Viglius College	Collegium Vigliani	Viglius College	college	0	0	0	0	0	0	0	2
28	Old University of Leuven	Studium Generale Lovaniense	Oude Universiteit Leuven	university	0	9	12	1425	9	11	1797	2
29	Collegium Trilingue	Collegium Trilingue	Drietalencollege	college	0	22	6	1517	25	10	1797	2
30	Saint Geertrui abbey		Abdij Sint Geertrui	monastic / religious	0	0	0	0	0	0	0	2
31	Augustinians	Ordo (Eremitarum) Sancti Augustini	Augustijnen	monastic / religious	0	0	0	0	0	0	0	2
32	Baius College	Collegium Baii	Baius College	college	0	0	0	0	0	0	0	2
33	Dominicans	Ordo Praedicatorum	Dominicanen	monastic / religious	0	0	0	0	0	0	0	2
35	Hollands College		Hollands College	college	0	0	0	0	0	0	0	2
36	Society of Jesus	Societas Iesu	Jezuieten	monastic / religious	0	0	0	0	0	0	0	2
37	Luxemburg College		Luxemburgcollege	college	0	0	0	0	0	0	0	2
38	Premonstratensians	Ordo Praemonstratensis	Norbertijnen	monastic / religious	0	0	0	0	0	0	0	2
39	Pope College	Collegium Adriani VI	Pauscollege	college	0	0	0	0	0	0	0	2
40	Faculty of Civil Law		Burgerlijk recht	faculty	25	0	0	0	0	0	0	2
41	Faculty of Canon Law		Kanoniek recht	faculty	25	0	0	0	0	0	0	2
42	College of Arras	Collegium Atrebatensis	Atrechtcollege	college	0	0	0	0	0	0	0	2
43	unknown		onbekend		0	0	0	0	0	0	0	0
44	Birckmann workshop	Birckmannica officina	Birckmann	printer / publisher	0	0	0	1540	0	0	1703	737
47	Willibrordus and Bonifacius College	Collegium SS. Willibrordi et Bonifacii	Willibrordus en Bonifacius College	college	0	0	0	0	0	0	0	0
48	Comin da Trino workshop		Comin da Trino	printer / publisher	0	0	0	0	0	0	0	0
49	Council of Trente	Concilium Tridentinum	Concilie van Trente		0	0	0	0	0	0	0	738
50	Baglioni workshop	Officina Baglioni	Baglioni	printer / publisher	0	0	0	1590	0	0	1844	8273
51	Plantijn workshop	Officina Plantiniana	Plantijn	printer / publisher	0	0	0	1555	0	0	1876	26
52	Stamperia Camerale		Stamperia Camerale	printer / publisher	0	0	0	1589	0	0	1851	740
53	Stamperia di S.A.S.		Stamperia di S.A.S.	printer / publisher	0	0	0	0	0	0	0	741
54	t'Serstevens workshop		t'Serstevens	printer / publisher	0	0	0	0	0	0	0	116
55	Thielmannus	Thielmannus	Thielmannus	bookseller	0	0	0	0	0	0	0	2
56	Tipografia del Seminario		Tipografia del Seminario	printer / publisher	0	0	0	0	0	0	0	742
57	Typographia academica	Typographia academica	Typographia academica	printer / publisher	0	0	0	1759	0	0	1797	2
58	Vanlinthout and Vandenzande		Vanlinthout en Vandenzande	printer / publisher	0	0	0	0	0	0	0	2
59	Waisenhaus		Waisenhaus	printer / publisher	0	0	0	0	0	0	0	743
60	Diocese of Tournai		Bisdom Doornik		0	0	0	1146	0	0	0	168
65	College of Ghent	Collegium Gandense	Gents college	college	0	0	2	1559	0	0	1587	2
66	Vaulx College	Collegium Vaulxianum	Vaulxcollege	college	0	0	0	1587	0	0	1657	2
67	College of the Augustinians		Augustijnencollege	college	31	12	3	1612	0	0	1741	2
69	Standonck College	Collegium Standonck	Standockcollege	college	0	0	0	1500	0	0	1797	2
70	Saint Peter's School	Schola Sancti Petri	Sint-Pietersschool		0	0	0	0	0	0	0	2
71	Benedictines	Ordinis Sancti Benedicti	Benedictijnen	monastic / religious	0	0	0	0	0	0	0	0
72	Cistercians	(Sacer) Ordo Cisterciensis	Orde der Cisterciënzers	monastic / religious	0	0	0	0	0	0	0	0
73	Discalced Carmelites	Ordo Carmelitarum Discalceatorum	Ongeschoeide karmelieten	monastic / religious	74	0	0	0	0	0	0	0
74	Carmelites	Ordo Fratrum Beatissimæ Virginis Mariæ de Monte Carmelo	Karmelieten	monastic / religious	0	0	0	0	0	0	0	0
75	Carthusians	Ordo Cartusiensis	Kartuizers	monastic / religious	0	0	0	0	0	0	0	0
76	Franciscans	Ordo Fratrum Minorum	Franciscanen; minderbroeders; Serafijnse Orde	monastic / religious	0	0	0	0	0	0	0	0
77	Capuchins	Ordo Fratrum Minorum Capuccinorum	Kapucijnen	monastic / religious	76	0	0	0	0	0	0	0
78	Recollects	Ordo fratrum minorum recollectorum; Ordo minorum recollectorum		monastic / religious	76	0	0	0	0	0	0	0
79	Conventual Franciscans	Ordo Fratrum Minorum Conventualium	Minorieten; conventuelen	monastic / religious	76	0	0	0	0	0	0	0
80	Observant Franciscans	Ordo Fratris Menoris Regularis Observantia	Orde der Minderbroeders van de Reguliere Observantie	monastic / religious	76	0	0	0	0	0	0	0
81	Servite Order	Ordo Servorum Beatae Mariae Virginis	Servieten van Maria	monastic / religious	0	0	0	0	0	0	0	0
82	Oratorians	Confederatio Oratorii Sancti Philippi Nerii	Oratorianen; oratoren	monastic / religious	0	0	0	0	0	0	0	0
83	Tertiaries	Tertius Ordo Regularis Sancti Francisci		monastic / religious	0	0	0	0	0	0	0	0
84	Vincentians	Congregatio Missionis	Congregatie der Missie; Lazaristen	monastic / religious	0	0	0	0	0	0	0	0
85	tipografia Aureli	tipografia Aureli		printer / publisher	0	0	0	0	0	0	0	0
86	Baba workshop	officina Baba		printer / publisher	0	0	0	0	0	0	0	0
87	Batavus			printer / publisher	0	0	0	0	0	0	0	0
88	Braine-le-Comte: O.P.				0	0	0	0	0	0	0	0
89	stad Brussel			city / state	0	0	0	0	0	0	0	0
90	Society of Jesus Brussels	Collegium Societatis Iesu Bruxellense		monastic / religious	36	0	0	0	0	0	0	0
91	Compagnia degli Aspiranti			printer / publisher	0	0	0	0	0	0	0	0
92	Drukkerij der vrije Brabantse provinciën		Drukkerij der vrije Brabantse provinciën	printer / publisher	0	0	0	0	0	0	0	0
93	Drukkerij van Ernestus		Drukkerij van Ernestus	printer / publisher	0	0	0	0	0	0	0	0
94	Etats de Brabant			city / state	0	0	0	0	0	0	0	0
95	Faculty of Theology (Köln)	Facultas theologiae Coloniensis		faculty	115	0	0	0	0	0	0	0
96	Hunneprik		Hunneprik	printer / publisher	0	0	0	0	0	0	0	116
97	Imprimerie de la religion			printer / publisher	0	0	0	0	0	0	0	0
98	Imprimerie patriotique			printer / publisher	0	0	0	0	0	0	0	0
99	Komarek			printer / publisher	0	0	0	0	0	0	0	0
102	city of Mechelen			city / state	0	0	0	0	0	0	0	0
103	Officine Anisson			printer / publisher	0	0	0	0	0	0	0	0
104	Holy Congregation of the Vatican Press 	Congregatio pro typographia vaticana	Pauselijke drukkerij	printer / publisher	0	22	1	1588	0	0	0	740
105	Peeters		Peeters	printer / publisher	0	0	0	0	0	0	0	0
106	Pluckhaen van Lier		Pluckhaen van Lier	printer / publisher	0	0	0	0	0	0	0	8080
107	Raad van Vlaanderen		Raad van Vlaanderen	city / state	0	0	0	0	0	0	0	0
108	Sint Romboutskapittel		Sint Romboutskapittel	monastic / religious	0	0	0	0	0	0	0	0
109	Société des Libraires			printer / publisher	0	0	0	0	0	0	0	0
110	Staten van Vlaanderen		Staten van Vlaanderen	city / state	0	0	0	0	0	0	0	0
111	Tamo Angelo			printer / publisher	0	0	0	0	0	0	0	0
112	Trouwe Belg		Trouwe Belg	printer / publisher	0	0	0	0	0	0	0	0
113	Typographia Balleoniana	Typographia Balleoniana		printer / publisher	0	0	0	1719	0	0	1844	8273
114	Woelen-Bosch			printer / publisher	0	0	0	0	0	0	0	0
115	University of Cologne			university	0	0	0	1388	0	0	1798	737
116	Onze-Lieve-Vrouw van Halle		Onze-Lieve-Vrouw van Halle	monastic / religious	0	0	0	0	0	0	0	252
117	printer / publisher unknown			printer / publisher	0	0	0	0	0	0	0	0
118	Academia Societatis Jesu	Academia Societatis Jesu		printer / publisher	36	0	0	1649	0	0	1771	9204
119	Colégio das Artes			printer / publisher	0	0	0	0	0	0	0	9210
120	Compagnie de la Grande Navire			printer / publisher	0	0	0	1582	0	0	1660	495
121	Congrégation de Saint-Maur		Congregatie van Saint-Maur	printer / publisher	0	0	0	0	0	0	0	0
122	Drukarnia Jego Królewskiej Mości i Rzeczpospolitej			printer / publisher	0	0	0	1758	0	0	1844	9231
123	Eliot's Court Press			printer / publisher	0	0	0	1584	0	0	1640	5262
124	Faculty of law (Vienna)			printer / publisher	0	0	0	0	0	0	0	0
125	Faculty of law (Wittenberg)			printer / publisher	0	0	0	0	0	0	0	0
126	Faculty of Theology (Douai)			printer / publisher	0	0	0	0	0	0	0	0
127	Imprenta del Diario			printer / publisher	0	0	0	1790	0	0	1812	8175
128	Imprenta real			printer / publisher	0	0	0	1600	0	0	1830	5392
129	Imprimerie académique			printer / publisher	0	0	0	1772	0	0	1789	116
130	Imprimerie des Nations			printer / publisher	0	0	0	1784	0	0	1790	116
131	Seminarium Generale			printer / publisher	0	0	0	0	0	0	0	2
132	Libraires associés			printer / publisher	0	0	0	0	0	0	0	2
133	Longhi			printer / publisher	0	0	0	0	0	0	0	9208
134	Metternich workshop	Officina Metternich		printer / publisher	0	0	0	0	0	0	0	737
135	Nivelliana workshop	Officina Nivelliana		printer / publisher	0	0	0	1609	0	0	1624	495
136	Nortoniana workshop	Officina Nortoniana		printer / publisher	0	0	0	1605	0	0	1620	5262
137	Oporiniana workshop	Officina Oporiniana		printer / publisher	0	0	0	1568	0	0	1600	1297
138	Raad van Brabant		Raad van Brabant	printer / publisher	0	0	0	0	0	0	0	0
139	Société typographique			printer / publisher	0	0	0	1633	0	0	1671	495
140	Speranza			printer / publisher	0	0	0	1544	0	0	1588	8273
141	Stamperia del Popolo Romano			printer / publisher	0	0	0	1563	0	0	1598	740
142	Staten van Holland		Staten van Holland	printer / publisher	0	0	0	0	0	0	0	0
143	Staten-Generaal van de Verenigde Nederlandse Staten		Staten-Generaal van de Verenigde Nederlandse Staten	printer / publisher	0	0	0	1577	0	0	1790	0
144	Sheldonian Theatre	Theatrum Sheldonianum		printer / publisher	0	0	0	1673	0	0	1799	6572
145	Vrije drukpers		Vrije drukpers	printer / publisher	0	0	0	1796	0	0	1797	0
146	Societas Minima	Societas Minima		printer / publisher	0	0	0	0	0	0	0	0
147	Collegium Italorum	Collegium Italorum		printer / publisher	0	0	0	0	0	0	0	495
148	neuen Buchhandlung			printer / publisher	0	0	0	0	0	0	0	0
149	Sumptibus Societatis	Sumptibus Societatis		printer / publisher	0	0	0	0	0	0	0	0
